answer,left_method,participant,right_method,test_case
,40000kbps_2160p_59_94fps_vp9,e3684da5-4030-4e12-b9d3-afb4e999c187,15000kbps_2160p_59_94fps_hevc,vegetables_tuil@display=downscale_720p
,40000kbps_2160p_59_94fps_vp9,958a4301-e2b8-4b54-a63b-102d6085a86f,15000kbps_2160p_59_94fps_hevc,vegetables_tuil@display=downscale_720p
40000kbps_2160p_59_94fps_vp9,15000kbps_2160p_59_94fps_hevc,15974b17-e4c7-47b9-b0cd-b6a1d10784db,40000kbps_2160p_59_94fps_vp9,vegetables_tuil@display=downscale_720p
40000kbps_2160p_59_94fps_vp9,15000kbps_2160p_59_94fps_hevc,f3c5ed75-bb2c-4bfc-af69-a34fd3f7e41f,40000kbps_2160p_59_94fps_vp9,vegetables_tuil@display=downscale_720p
,40000kbps_2160p_59_94fps_vp9,dd09179a-07e8-4120-883d-32e420225963,15000kbps_2160p_59_94fps_hevc,vegetables_tuil@display=downscale_720p
15000kbps_2160p_59_94fps_hevc,40000kbps_2160p_59_94fps_vp9,738d1643-c036-4686-8e41-0182a382f65e,15000kbps_2160p_59_94fps_hevc,vegetables_tuil@display=downscale_720p
,15000kbps_2160p_59_94fps_hevc,dd09179a-07e8-4120-883d-32e420225963,40000kbps_2160p_59_94fps_vp9,vegetables_tuil@display=downscale_720p
40000kbps_2160p_59_94fps_vp9,15000kbps_2160p_59_94fps_hevc,d12d0263-4c2b-4f4a-8d3a-e9d59632613e,40000kbps_2160p_59_94fps_vp9,vegetables_tuil@display=downscale_720p
15000kbps_2160p_59_94fps_hevc,15000kbps_2160p_59_94fps_hevc,caafff40-23a6-452e-b203-037afd6a83b6,40000kbps_2160p_59_94fps_vp9,vegetables_tuil@display=downscale_720p
15000kbps_2160p_59_94fps_hevc,15000kbps_2160p_59_94fps_hevc,43b07a5d-b0cb-4ecb-89fc-7d8421ee12ca,40000kbps_2160p_59_94fps_vp9,vegetables_tuil@display=downscale_720p
59720kbps_2160p_60_0fps_h264,59720kbps_2160p_60_0fps_h264,c535ce93-0476-487d-91b1-67d3da2018c8,3484kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
59720kbps_2160p_60_0fps_h264,3484kbps_2160p_60_0fps_h264,04351255-bde1-421d-8da6-e7b2c460980d,59720kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
59720kbps_2160p_60_0fps_h264,3484kbps_2160p_60_0fps_h264,958a4301-e2b8-4b54-a63b-102d6085a86f,59720kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
59720kbps_2160p_60_0fps_h264,59720kbps_2160p_60_0fps_h264,a8ba5833-bd9e-4921-8d9c-ce4c636a67ec,3484kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
59720kbps_2160p_60_0fps_h264,59720kbps_2160p_60_0fps_h264,05958db2-282c-478f-baca-bf32787700be,3484kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
59720kbps_2160p_60_0fps_h264,3484kbps_2160p_60_0fps_h264,6524bdb7-bd46-406f-a638-e91da209b9ff,59720kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
59720kbps_2160p_60_0fps_h264,59720kbps_2160p_60_0fps_h264,1b1dc6fe-8333-4976-a364-e5cfa06744da,3484kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
59720kbps_2160p_60_0fps_h264,3484kbps_2160p_60_0fps_h264,3bf9cf64-9e82-494e-9c8f-f390d2c206cf,59720kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
59720kbps_2160p_60_0fps_h264,3484kbps_2160p_60_0fps_h264,dd09179a-07e8-4120-883d-32e420225963,59720kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
59720kbps_2160p_60_0fps_h264,3484kbps_2160p_60_0fps_h264,3bf9cf64-9e82-494e-9c8f-f390d2c206cf,59720kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
,22229kbps_2160p_59_94fps_hevc,c59f2376-776b-47da-8f84-fb89d35623be,59720kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=downscale_720p
,59720kbps_2160p_59_94fps_hevc,70c52cc2-7fb7-40b5-a731-7a63d3bdb415,22229kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=downscale_720p
,22229kbps_2160p_59_94fps_hevc,04351255-bde1-421d-8da6-e7b2c460980d,59720kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=downscale_720p
,59720kbps_2160p_59_94fps_hevc,81a1b953-2031-473e-9bed-97c52468ed4e,22229kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=downscale_720p
,59720kbps_2160p_59_94fps_hevc,dd09179a-07e8-4120-883d-32e420225963,22229kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=downscale_720p
,22229kbps_2160p_59_94fps_hevc,08004891-88ef-4ce5-bdad-728085b2b0ff,59720kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=downscale_720p
59720kbps_2160p_59_94fps_hevc,59720kbps_2160p_59_94fps_hevc,22de42b0-85a4-4a68-a5ac-3e7f68a6992c,22229kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=downscale_720p
22229kbps_2160p_59_94fps_hevc,59720kbps_2160p_59_94fps_hevc,8d2516f7-eed0-4976-a743-5356f6fbb73f,22229kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=downscale_720p
,59720kbps_2160p_59_94fps_hevc,c535ce93-0476-487d-91b1-67d3da2018c8,22229kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=downscale_720p
59720kbps_2160p_59_94fps_hevc,59720kbps_2160p_59_94fps_hevc,7cb126af-65e8-4958-b566-a7129149f460,22229kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=downscale_720p
22229kbps_2160p_60_0fps_hevc,59720kbps_2160p_60_0fps_h264,efb7a77d-e14e-48b1-98a4-e50b12a974d9,22229kbps_2160p_60_0fps_hevc,Dancers_8s@display=downscale_720p
22229kbps_2160p_60_0fps_hevc,22229kbps_2160p_60_0fps_hevc,1b8481a3-af9c-43ba-9923-c5f8998eb56c,59720kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
22229kbps_2160p_60_0fps_hevc,59720kbps_2160p_60_0fps_h264,87d1fb9b-0d88-42a1-871d-2ebca3f4f97a,22229kbps_2160p_60_0fps_hevc,Dancers_8s@display=downscale_720p
59720kbps_2160p_60_0fps_h264,22229kbps_2160p_60_0fps_hevc,dec687c7-155e-4e66-b87d-1bc377c9caa4,59720kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
,22229kbps_2160p_60_0fps_hevc,dd09179a-07e8-4120-883d-32e420225963,59720kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
22229kbps_2160p_60_0fps_hevc,59720kbps_2160p_60_0fps_h264,efb7a77d-e14e-48b1-98a4-e50b12a974d9,22229kbps_2160p_60_0fps_hevc,Dancers_8s@display=downscale_720p
,22229kbps_2160p_60_0fps_hevc,20d97eb5-eb04-40a4-b08a-86b3d782feb6,59720kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
22229kbps_2160p_60_0fps_hevc,22229kbps_2160p_60_0fps_hevc,2be0b00e-cbd1-48b8-9952-f8335a49152a,59720kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
22229kbps_2160p_60_0fps_hevc,59720kbps_2160p_60_0fps_h264,219b0a1a-d265-4d25-8ac8-5febf46c236d,22229kbps_2160p_60_0fps_hevc,Dancers_8s@display=downscale_720p
,22229kbps_2160p_60_0fps_hevc,e76ce1a7-f2f2-4861-bcd7-a26f18cb5b87,59720kbps_2160p_60_0fps_h264,Dancers_8s@display=downscale_720p
59720kbps_2160p_59_94fps_h264,59720kbps_2160p_59_94fps_h264,43b07a5d-b0cb-4ecb-89fc-7d8421ee12ca,59720kbps_2160p_59_94fps_hevc,water_netflix_8s@display=downscale_720p
59720kbps_2160p_59_94fps_hevc,59720kbps_2160p_59_94fps_hevc,4eda1d8b-c2b4-4f40-822a-2993eb97b30c,59720kbps_2160p_59_94fps_h264,water_netflix_8s@display=downscale_720p
59720kbps_2160p_59_94fps_h264,59720kbps_2160p_59_94fps_h264,1cec2db1-36db-4764-b4a4-1759a0423f72,59720kbps_2160p_59_94fps_hevc,water_netflix_8s@display=downscale_720p
,59720kbps_2160p_59_94fps_hevc,dd09179a-07e8-4120-883d-32e420225963,59720kbps_2160p_59_94fps_h264,water_netflix_8s@display=downscale_720p
,59720kbps_2160p_59_94fps_h264,e3684da5-4030-4e12-b9d3-afb4e999c187,59720kbps_2160p_59_94fps_hevc,water_netflix_8s@display=downscale_720p
59720kbps_2160p_59_94fps_hevc,59720kbps_2160p_59_94fps_h264,b61e2818-099e-4fb2-af39-88ccd46b7033,59720kbps_2160p_59_94fps_hevc,water_netflix_8s@display=downscale_720p
59720kbps_2160p_59_94fps_h264,59720kbps_2160p_59_94fps_h264,f3a30885-40b0-4455-b0c8-7bb028250ac9,59720kbps_2160p_59_94fps_hevc,water_netflix_8s@display=downscale_720p
