answer,left_method,participant,right_method,test_case
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_h264,bd097813-7fc3-4301-b939-643d0af728a1,7500kbps_2160p_59_94fps_hevc,water_netflix@display=center_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,4067eb21-c8c2-4723-bc86-a1cab1f6d670,7500kbps_2160p_59_94fps_h264,water_netflix@display=center_crop_720p
7500kbps_2160p_59_94fps_h264,7500kbps_2160p_59_94fps_h264,54ff783c-43c7-4c8b-9c7a-eff5f73d662d,7500kbps_2160p_59_94fps_hevc,water_netflix@display=center_crop_720p
,7500kbps_2160p_59_94fps_h264,690650c7-9119-497a-9747-ace85cd8f32f,7500kbps_2160p_59_94fps_hevc,water_netflix@display=center_crop_720p
7500kbps_2160p_59_94fps_h264,7500kbps_2160p_59_94fps_hevc,1e0b9fa9-bdce-4013-a041-56771e0a8f5d,7500kbps_2160p_59_94fps_h264,water_netflix@display=center_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,e8fcfe15-ec19-4572-ac94-8161b3c1c538,7500kbps_2160p_59_94fps_h264,water_netflix@display=center_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,702bc811-372b-48b3-9241-d879f08da0ab,7500kbps_2160p_59_94fps_h264,water_netflix@display=center_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,89e87a67-9f89-4d9d-bbd9-17cd9d613671,7500kbps_2160p_59_94fps_h264,water_netflix@display=center_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,2c15d5b5-80b8-417f-a266-94c9f87ac793,7500kbps_2160p_59_94fps_h264,water_netflix@display=center_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_h264,9f78d5de-44ed-4ade-8350-91d15d08660f,7500kbps_2160p_59_94fps_hevc,water_netflix@display=center_crop_720p
40000kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_h264,e8fcfe15-ec19-4572-ac94-8161b3c1c538,40000kbps_2160p_59_94fps_hevc,water_netflix@display=center_crop_720p
40000kbps_2160p_59_94fps_hevc,40000kbps_2160p_59_94fps_hevc,67cac82e-e60a-4a5b-849f-ff4a58a1b8ec,7500kbps_2160p_59_94fps_h264,water_netflix@display=center_crop_720p
40000kbps_2160p_59_94fps_hevc,40000kbps_2160p_59_94fps_hevc,c49850c3-7323-4a2a-98c6-1fc2e0acf12c,7500kbps_2160p_59_94fps_h264,water_netflix@display=center_crop_720p
40000kbps_2160p_59_94fps_hevc,40000kbps_2160p_59_94fps_hevc,e8fcfe15-ec19-4572-ac94-8161b3c1c538,7500kbps_2160p_59_94fps_h264,water_netflix@display=center_crop_720p
40000kbps_2160p_59_94fps_hevc,40000kbps_2160p_59_94fps_hevc,c49850c3-7323-4a2a-98c6-1fc2e0acf12c,7500kbps_2160p_59_94fps_h264,water_netflix@display=center_crop_720p
40000kbps_2160p_59_94fps_hevc,40000kbps_2160p_59_94fps_hevc,48b6f8e9-5f2c-4276-bbe7-0988ef3b70e4,7500kbps_2160p_59_94fps_h264,water_netflix@display=center_crop_720p
40000kbps_2160p_59_94fps_hevc,40000kbps_2160p_59_94fps_hevc,8ebb3f0c-3f39-4c6a-839f-96177a65a978,7500kbps_2160p_59_94fps_h264,water_netflix@display=center_crop_720p
40000kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_h264,cd514197-164c-4a1b-aff2-ca42ca8c378b,40000kbps_2160p_59_94fps_hevc,water_netflix@display=center_crop_720p
40000kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_h264,e8fcfe15-ec19-4572-ac94-8161b3c1c538,40000kbps_2160p_59_94fps_hevc,water_netflix@display=center_crop_720p
