answer,left_method,participant,right_method,test_case
1080p_60hz_q_35,1080p_60hz_q_35,ad8a4072-be33-40eb-af94-c7c9562674c6,1080p_60hz_q_39,Tunnel@display=saliency_crop_1080p
1080p_60hz_q_35,1080p_60hz_q_39,870ec215-6f6e-475f-bbd4-96a8a27ccae2,1080p_60hz_q_35,Tunnel@display=saliency_crop_1080p
1080p_60hz_q_35,1080p_60hz_q_39,122b7074-cc9b-4f64-aa1a-03b5f1480f13,1080p_60hz_q_35,Tunnel@display=saliency_crop_1080p
1080p_60hz_q_35,1080p_60hz_q_39,3f1d0eff-09ff-490e-9c9a-26b26db77c10,1080p_60hz_q_35,Tunnel@display=saliency_crop_1080p
1080p_60hz_q_39,1080p_60hz_q_39,639a7b7a-48af-4aa4-9ae7-5e3627771f37,1080p_60hz_q_35,Tunnel@display=saliency_crop_1080p
,1080p_60hz_q_39,94db68aa-5f7e-4d22-ac46-0f6ff2b47097,1080p_60hz_q_35,Tunnel@display=saliency_crop_1080p
1080p_60hz_q_35,1080p_60hz_q_39,c34dd41f-6015-4313-a84b-f3a873ba42a7,1080p_60hz_q_35,Tunnel@display=saliency_crop_1080p
1080p_60hz_q_35,1080p_60hz_q_39,dff9566a-fb80-4059-a28d-21094fd020ac,1080p_60hz_q_35,Tunnel@display=saliency_crop_1080p
1080p_60hz_q_35,1080p_60hz_q_35,c7016d41-ebd6-402d-a9a6-7c7b1d8ac2ca,1080p_60hz_q_39,Tunnel@display=saliency_crop_1080p
,2160p_60hz_q_45,e7d3ab3d-b9dd-4cf0-919e-fbae153d6781,2160p_60hz_q_41,Yacht@display=saliency_crop_1080p
2160p_60hz_q_41,2160p_60hz_q_45,e48ca95c-da90-438b-9b1d-9208d3ed920e,2160p_60hz_q_41,Yacht@display=saliency_crop_1080p
2160p_60hz_q_41,2160p_60hz_q_41,4d31fa90-d25b-400f-b1ab-1495745c3e87,2160p_60hz_q_45,Yacht@display=saliency_crop_1080p
,2160p_60hz_q_45,fae24fd5-6465-4d85-95a3-4607cd621838,2160p_60hz_q_41,Yacht@display=saliency_crop_1080p
2160p_60hz_q_41,2160p_60hz_q_41,714de9a6-39bb-4c40-aa61-8bf606817e06,2160p_60hz_q_45,Yacht@display=saliency_crop_1080p
2160p_60hz_q_41,2160p_60hz_q_45,bd7c9af3-4e71-4b16-905b-e16a0008fe3b,2160p_60hz_q_41,Yacht@display=saliency_crop_1080p
2160p_60hz_q_41,2160p_60hz_q_45,0784a86c-bc8b-45cf-b766-6872b1851623,2160p_60hz_q_41,Yacht@display=saliency_crop_1080p
2160p_60hz_q_41,2160p_60hz_q_41,f6c8d251-52be-4c99-8059-f9fb2e16bca0,2160p_60hz_q_45,Yacht@display=saliency_crop_1080p
,2160p_60hz_q_45,f2feb778-33a0-42d9-866a-29a1aabbe155,2160p_60hz_q_41,Yacht@display=saliency_crop_1080p
2160p_60hz_q_41,2160p_60hz_q_45,ad8a4072-be33-40eb-af94-c7c9562674c6,2160p_60hz_q_41,Yacht@display=saliency_crop_1080p
