answer,left_method,participant,right_method,test_case
2160p_60hz_q_37,2160p_60hz_q_37,edca6621-3600-4fcb-b176-43e95fb67f01,1080p_60hz_q_41,Ritual@display=saliency_crop_720p
2160p_60hz_q_37,1080p_60hz_q_41,d34535f3-95df-4e84-af7e-d220f3412cb7,2160p_60hz_q_37,Ritual@display=saliency_crop_720p
2160p_60hz_q_37,1080p_60hz_q_41,183e3c84-fd5b-4b43-85fb-3733c5044f77,2160p_60hz_q_37,Ritual@display=saliency_crop_720p
2160p_60hz_q_37,1080p_60hz_q_41,303767d2-bb8f-4e08-a419-9726fbff2d55,2160p_60hz_q_37,Ritual@display=saliency_crop_720p
2160p_60hz_q_37,2160p_60hz_q_37,c332c141-7e43-41eb-a6a3-548dfc5ed3d4,1080p_60hz_q_41,Ritual@display=saliency_crop_720p
2160p_60hz_q_37,1080p_60hz_q_41,c75ac98e-c7e5-4906-8d82-af838426b2cd,2160p_60hz_q_37,Ritual@display=saliency_crop_720p
2160p_60hz_q_37,2160p_60hz_q_37,b01478d3-4e2c-4a33-9d7d-3d59b609c378,1080p_60hz_q_41,Ritual@display=saliency_crop_720p
,2160p_60hz_q_37,ff752e18-850d-44f9-87a4-219804789be6,1080p_60hz_q_41,Ritual@display=saliency_crop_720p
2160p_60hz_q_37,2160p_60hz_q_37,123ecd7b-fde2-4b65-a8eb-f8112262a627,1080p_60hz_q_41,Ritual@display=saliency_crop_720p
2160p_60hz_q_37,1080p_60hz_q_41,85fa0d52-a324-40f6-ba28-47c8dbc9292e,2160p_60hz_q_37,Ritual@display=saliency_crop_720p
2160p_60hz_q_37,2160p_60hz_q_37,edca6621-3600-4fcb-b176-43e95fb67f01,1080p_60hz_q_41,Yacht@display=saliency_crop_720p
2160p_60hz_q_37,2160p_60hz_q_37,91953146-cb1c-4855-94a0-6b649ef20da1,1080p_60hz_q_41,Yacht@display=saliency_crop_720p
2160p_60hz_q_37,1080p_60hz_q_41,88767dea-00d0-4931-8ba0-baa35dae7c37,2160p_60hz_q_37,Yacht@display=saliency_crop_720p
2160p_60hz_q_37,1080p_60hz_q_41,13ef6675-7904-41c1-81f0-452d92290a61,2160p_60hz_q_37,Yacht@display=saliency_crop_720p
2160p_60hz_q_37,2160p_60hz_q_37,c934ae97-1914-4926-8422-ed4db2195485,1080p_60hz_q_41,Yacht@display=saliency_crop_720p
2160p_60hz_q_37,2160p_60hz_q_37,f7e084f5-037c-47ab-a332-2bda08ca163f,1080p_60hz_q_41,Yacht@display=saliency_crop_720p
2160p_60hz_q_37,1080p_60hz_q_41,a4cc5a85-8612-4238-942d-b0e1887dfe16,2160p_60hz_q_37,Yacht@display=saliency_crop_720p
2160p_60hz_q_37,1080p_60hz_q_41,6490bf52-0a7d-4216-bbf9-5b1972f15671,2160p_60hz_q_37,Yacht@display=saliency_crop_720p
2160p_60hz_q_43,2160p_60hz_q_43,edca6621-3600-4fcb-b176-43e95fb67f01,2160p_60hz_q_51,Toddler@display=saliency_crop_720p
2160p_60hz_q_43,2160p_60hz_q_51,02ac4312-4051-4e24-93ba-ff810ba41d0c,2160p_60hz_q_43,Toddler@display=saliency_crop_720p
2160p_60hz_q_43,2160p_60hz_q_51,3a62c88a-c965-4701-a6d1-0a2a6f11b515,2160p_60hz_q_43,Toddler@display=saliency_crop_720p
2160p_60hz_q_43,2160p_60hz_q_51,895c1c54-f237-4f15-9896-4d82a2ce495c,2160p_60hz_q_43,Toddler@display=saliency_crop_720p
2160p_60hz_q_43,2160p_60hz_q_43,269c79e0-ab01-4ae6-9ef7-dbeaffcdff06,2160p_60hz_q_51,Toddler@display=saliency_crop_720p
2160p_60hz_q_43,2160p_60hz_q_43,b5835c87-9370-4723-84bd-1e52e53d8b64,2160p_60hz_q_51,Toddler@display=saliency_crop_720p
2160p_60hz_q_43,2160p_60hz_q_51,50dee4e8-f7ce-43d4-a510-524e3f0b1606,2160p_60hz_q_43,Toddler@display=saliency_crop_720p
2160p_60hz_q_43,2160p_60hz_q_43,90faabe1-e3ee-4f7c-977b-dd97af3edc20,2160p_60hz_q_51,Toddler@display=saliency_crop_720p
2160p_60hz_q_41,2160p_60hz_q_41,edca6621-3600-4fcb-b176-43e95fb67f01,1080p_60hz_q_31,Tunnel@display=saliency_crop_720p
,2160p_60hz_q_41,db47968d-3c12-42f6-9b3e-bac309e37785,1080p_60hz_q_31,Tunnel@display=saliency_crop_720p
,1080p_60hz_q_31,80aca6d4-54c7-4c95-9364-9aa82fcbd0d8,2160p_60hz_q_41,Tunnel@display=saliency_crop_720p
1080p_60hz_q_31,1080p_60hz_q_31,a3dd062a-fff5-4ec1-9086-cae78ef51768,2160p_60hz_q_41,Tunnel@display=saliency_crop_720p
2160p_60hz_q_41,2160p_60hz_q_41,5feaf5d9-b77f-4414-b124-69feaae0ed14,1080p_60hz_q_31,Tunnel@display=saliency_crop_720p
,2160p_60hz_q_41,dc3d15e8-de81-4df0-9244-5dda3c71aa60,1080p_60hz_q_31,Tunnel@display=saliency_crop_720p
,1080p_60hz_q_31,cd2f9ea4-e548-4fd6-a350-4629fe017184,2160p_60hz_q_41,Tunnel@display=saliency_crop_720p
,2160p_60hz_q_41,079bcf89-293f-4a43-8c1b-c3cb21c0a80d,1080p_60hz_q_31,Tunnel@display=saliency_crop_720p
1080p_60hz_q_31,2160p_60hz_q_51,edca6621-3600-4fcb-b176-43e95fb67f01,1080p_60hz_q_31,SeaRock@display=saliency_crop_720p
1080p_60hz_q_31,1080p_60hz_q_31,e1df9109-bfb1-4486-9470-158d12ba471b,2160p_60hz_q_51,SeaRock@display=saliency_crop_720p
1080p_60hz_q_31,2160p_60hz_q_51,8a110bba-3a80-4d0d-af5f-ac8da3efab88,1080p_60hz_q_31,SeaRock@display=saliency_crop_720p
