answer,left_method,participant,right_method,test_case
encoded@bitrate=1050_height=480,encoded@bitrate=1050_height=480,13938d5f-f944-4d9b-9cdd-e14923c00f15,encoded@bitrate=375_height=288,Tennis@display=manual
encoded@bitrate=1050_height=480,encoded@bitrate=375_height=288,682989e1-6f4f-4b69-86c7-4bddf28e1f5b,encoded@bitrate=1050_height=480,Tennis@display=manual
encoded@bitrate=1050_height=480,encoded@bitrate=375_height=288,c86d1a3c-1841-411b-bfee-63973aa76eef,encoded@bitrate=1050_height=480,Tennis@display=manual
encoded@bitrate=1050_height=480,encoded@bitrate=1050_height=480,48168d21-94d5-4bc2-9a55-56d1b4dcad2b,encoded@bitrate=375_height=288,Tennis@display=manual
encoded@bitrate=1050_height=480,encoded@bitrate=1050_height=480,89a13fe9-e81c-479b-a77f-40d166a71760,encoded@bitrate=375_height=288,Tennis@display=manual
encoded@bitrate=1050_height=480,encoded@bitrate=1050_height=480,aaf93bcf-e938-4bfd-9003-42205adb6035,encoded@bitrate=375_height=288,Tennis@display=manual
encoded@bitrate=1050_height=480,encoded@bitrate=375_height=288,7487a247-9951-4b59-af28-fed5f1e160c0,encoded@bitrate=1050_height=480,Tennis@display=manual
encoded@bitrate=1050_height=480,encoded@bitrate=375_height=288,2a669273-79fc-420f-a864-1651ce04056e,encoded@bitrate=1050_height=480,Tennis@display=manual
encoded@bitrate=1050_height=480,encoded@bitrate=1050_height=480,e247593a-1bf1-4d02-a607-7d80c06c5b76,encoded@bitrate=375_height=288,Tennis@display=manual
encoded@bitrate=1050_height=480,encoded@bitrate=375_height=288,d21a3407-2742-4430-9a5f-d38bc4fb1eaf,encoded@bitrate=1050_height=480,Tennis@display=manual
encoded@bitrate=15000_height=1080,encoded@bitrate=15000_height=1080,7accae00-079c-44ea-9734-2ec1a275d4a0,encoded@bitrate=375_height=288,Seeking@display=manual
encoded@bitrate=15000_height=1080,encoded@bitrate=375_height=288,a949c2cb-04de-4ddb-958f-894be933c97a,encoded@bitrate=15000_height=1080,Seeking@display=manual
encoded@bitrate=15000_height=1080,encoded@bitrate=375_height=288,01348cd3-67a6-47ee-8872-951490741f28,encoded@bitrate=15000_height=1080,Seeking@display=manual
encoded@bitrate=15000_height=1080,encoded@bitrate=375_height=288,9694b5be-4765-407a-92a4-2a42a1f5057c,encoded@bitrate=15000_height=1080,Seeking@display=manual
encoded@bitrate=15000_height=1080,encoded@bitrate=15000_height=1080,9b24206f-fd91-499d-81e1-d6adebf98684,encoded@bitrate=375_height=288,Seeking@display=manual
encoded@bitrate=15000_height=1080,encoded@bitrate=15000_height=1080,9ab55715-fc9a-4e6d-a57e-7f62bffc1078,encoded@bitrate=375_height=288,Seeking@display=manual
encoded@bitrate=15000_height=1080,encoded@bitrate=15000_height=1080,048cd4b8-ecb2-4139-bfe0-77434510af53,encoded@bitrate=375_height=288,Seeking@display=manual
encoded@bitrate=15000_height=1080,encoded@bitrate=375_height=288,2b7e4e05-f0f1-4103-896b-6b324fcdb5b9,encoded@bitrate=15000_height=1080,Seeking@display=manual
encoded@bitrate=15000_height=1080,encoded@bitrate=15000_height=1080,d28733f1-ff29-4672-95c0-2c8b0f49f318,encoded@bitrate=375_height=288,Seeking@display=manual
encoded@bitrate=15000_height=1080,encoded@bitrate=15000_height=1080,857c3baa-9379-476b-b3cb-a917913f180e,encoded@bitrate=375_height=288,Seeking@display=manual
encoded@bitrate=4300_height=1080,encoded@bitrate=375_height=288,3f53fddd-f7eb-4961-a3ee-0677e64468d7,encoded@bitrate=4300_height=1080,Seeking@display=manual
encoded@bitrate=4300_height=1080,encoded@bitrate=4300_height=1080,934ebe5d-9579-497a-a37e-8d79e6900ec6,encoded@bitrate=375_height=288,Seeking@display=manual
encoded@bitrate=4300_height=1080,encoded@bitrate=4300_height=1080,0b6ee10c-5070-4058-8611-8d3828afbad9,encoded@bitrate=375_height=288,Seeking@display=manual
encoded@bitrate=4300_height=1080,encoded@bitrate=375_height=288,a064d2f1-6794-4c38-a07b-6633000df574,encoded@bitrate=4300_height=1080,Seeking@display=manual
encoded@bitrate=4300_height=1080,encoded@bitrate=4300_height=1080,d201ae5f-4e30-4603-aeb0-b6a0142c3ef6,encoded@bitrate=375_height=288,Seeking@display=manual
encoded@bitrate=4300_height=1080,encoded@bitrate=4300_height=1080,0b80eeba-a134-48ae-bdf7-d39a1b37d40f,encoded@bitrate=375_height=288,Seeking@display=manual
encoded@bitrate=4300_height=1080,encoded@bitrate=375_height=288,c9ce4b60-07ae-4873-b01e-8978cd5f5f0b,encoded@bitrate=4300_height=1080,Seeking@display=manual
encoded@bitrate=4300_height=1080,encoded@bitrate=375_height=288,075a1865-b66d-431c-bcf0-b9dc5f065767,encoded@bitrate=4300_height=1080,Seeking@display=manual
encoded@bitrate=4300_height=1080,encoded@bitrate=375_height=288,d1dbc9d0-6ceb-4e16-958e-fc494fb45338,encoded@bitrate=4300_height=1080,Seeking@display=manual
encoded@bitrate=4300_height=1080,encoded@bitrate=4300_height=1080,329467c7-deee-40d8-8aee-208485c52d6e,encoded@bitrate=375_height=288,Seeking@display=manual
encoded@bitrate=4250_height=720,encoded@bitrate=4250_height=720,c91cc1bb-19e4-40ee-b6b6-d141a6f345cc,encoded@bitrate=3050_height=720,ElFuente2@display=manual
encoded@bitrate=4250_height=720,encoded@bitrate=4250_height=720,a7dfa5dc-8ded-4f86-a115-fdbfaa4adef2,encoded@bitrate=3050_height=720,ElFuente2@display=manual
encoded@bitrate=4250_height=720,encoded@bitrate=4250_height=720,b0af356b-fdf7-4fcf-9790-3770d229fff1,encoded@bitrate=3050_height=720,ElFuente2@display=manual
,encoded@bitrate=3050_height=720,3d5260dc-cbec-4f7c-8c14-f60402107e62,encoded@bitrate=4250_height=720,ElFuente2@display=manual
,encoded@bitrate=3050_height=720,2f56e31c-a15f-44db-b8c5-fba20bb947a6,encoded@bitrate=4250_height=720,ElFuente2@display=manual
encoded@bitrate=3050_height=720,encoded@bitrate=4250_height=720,8ef0bddb-ff27-464b-b71e-e1fe7ab07a9a,encoded@bitrate=3050_height=720,ElFuente2@display=manual
encoded@bitrate=4250_height=720,encoded@bitrate=3050_height=720,5f50b893-7b01-498b-8f74-1f2ec3e5dfff,encoded@bitrate=4250_height=720,ElFuente2@display=manual
