answer,left_method,participant,right_method,test_case
encoded@bitrate=5800_height=1080,encoded@bitrate=5800_height=1080,88b36f5b-7e11-4173-9612-6e4bd8a0df5f,encoded@bitrate=3050_height=720,BigBuckBunny@display=sequential
encoded@bitrate=5800_height=1080,encoded@bitrate=3050_height=720,6bfdc018-e316-4308-9e36-75b96fbf87db,encoded@bitrate=5800_height=1080,BigBuckBunny@display=sequential
encoded@bitrate=5800_height=1080,encoded@bitrate=3050_height=720,3a63b826-0eed-47df-b419-9d445cda5305,encoded@bitrate=5800_height=1080,BigBuckBunny@display=sequential
encoded@bitrate=5800_height=1080,encoded@bitrate=3050_height=720,2dc294c9-e2ad-4de1-a9d0-cd71bbb77208,encoded@bitrate=5800_height=1080,BigBuckBunny@display=sequential
encoded@bitrate=5800_height=1080,encoded@bitrate=3050_height=720,658dc692-7421-4412-901b-44c5c6156b8d,encoded@bitrate=5800_height=1080,BigBuckBunny@display=sequential
encoded@bitrate=5800_height=1080,encoded@bitrate=5800_height=1080,e94f704d-fa22-45f1-a03e-2a052dc0f0a9,encoded@bitrate=3050_height=720,BigBuckBunny@display=sequential
encoded@bitrate=5800_height=1080,encoded@bitrate=3050_height=720,4f149963-afe7-4e7f-882a-d92298266de8,encoded@bitrate=5800_height=1080,BigBuckBunny@display=sequential
encoded@bitrate=5800_height=1080,encoded@bitrate=3050_height=720,eab4dc38-820b-4c1b-a638-2b4a0f93a334,encoded@bitrate=5800_height=1080,BigBuckBunny@display=sequential
encoded@bitrate=5800_height=1080,encoded@bitrate=3050_height=720,3b1058e2-fe8a-4537-a14d-164020753a23,encoded@bitrate=5800_height=1080,BigBuckBunny@display=sequential
encoded@bitrate=3050_height=720,encoded@bitrate=5800_height=1080,71bca3dc-88af-418b-bc5c-901a819fd1f0,encoded@bitrate=3050_height=720,BigBuckBunny@display=sequential
,encoded@bitrate=7500_height=1080,f84ff720-d8bb-45c9-8403-50d59edcb435,encoded@bitrate=3050_height=720,Seeking@display=sequential
encoded@bitrate=7500_height=1080,encoded@bitrate=7500_height=1080,5f234167-2bce-417e-a7b1-13f637af5124,encoded@bitrate=3050_height=720,Seeking@display=sequential
,encoded@bitrate=3050_height=720,f95ca5ed-5806-41a7-883d-75390a3ca469,encoded@bitrate=7500_height=1080,Seeking@display=sequential
encoded@bitrate=7500_height=1080,encoded@bitrate=7500_height=1080,46988bee-31b6-4324-8234-6c77582cea87,encoded@bitrate=3050_height=720,Seeking@display=sequential
encoded@bitrate=7500_height=1080,encoded@bitrate=7500_height=1080,02fd1a52-0f17-45c3-8185-fdbf6906e984,encoded@bitrate=3050_height=720,Seeking@display=sequential
encoded@bitrate=7500_height=1080,encoded@bitrate=7500_height=1080,c8f19654-d24f-46d4-9aa5-99d95c9ceab5,encoded@bitrate=3050_height=720,Seeking@display=sequential
encoded@bitrate=7500_height=1080,encoded@bitrate=7500_height=1080,239be723-f6dc-4053-ac79-4f57603fd382,encoded@bitrate=3050_height=720,Seeking@display=sequential
encoded@bitrate=7500_height=1080,encoded@bitrate=7500_height=1080,31386404-9819-45ed-8d9d-7ceeb1453990,encoded@bitrate=3050_height=720,Seeking@display=sequential
encoded@bitrate=7500_height=1080,encoded@bitrate=3050_height=720,bdcc1e7a-95a7-4f0a-89b9-ef03f0ed7261,encoded@bitrate=7500_height=1080,Seeking@display=sequential
encoded@bitrate=7500_height=1080,encoded@bitrate=3050_height=720,b80f00b9-eab1-4fc9-807a-f0f2300dd67c,encoded@bitrate=7500_height=1080,Seeking@display=sequential
,encoded@bitrate=4250_height=720,f84ff720-d8bb-45c9-8403-50d59edcb435,encoded@bitrate=3050_height=720,BigBuckBunny@display=sequential
encoded@bitrate=4250_height=720,encoded@bitrate=4250_height=720,882969fc-cb3f-463a-ae31-0d7c32898c9f,encoded@bitrate=3050_height=720,BigBuckBunny@display=sequential
encoded@bitrate=3050_height=720,encoded@bitrate=4250_height=720,04e42b86-466e-4ef7-9fc6-faf842d0b850,encoded@bitrate=3050_height=720,BigBuckBunny@display=sequential
,encoded@bitrate=4250_height=720,6d0409d3-a58a-4600-9d50-620749517832,encoded@bitrate=3050_height=720,BigBuckBunny@display=sequential
encoded@bitrate=4250_height=720,encoded@bitrate=4250_height=720,7ff3ca3e-cf96-4966-a02a-b9eab26a658b,encoded@bitrate=3050_height=720,BigBuckBunny@display=sequential
encoded@bitrate=3050_height=720,encoded@bitrate=3050_height=720,653d3a44-c7c2-4735-9899-3247fc68381e,encoded@bitrate=4250_height=720,BigBuckBunny@display=sequential
encoded@bitrate=3050_height=720,encoded@bitrate=3050_height=720,8ae60f0f-bc2f-4e37-9772-cbd58a5734ca,encoded@bitrate=4250_height=720,BigBuckBunny@display=sequential
,encoded@bitrate=4250_height=720,4224335e-26df-4d36-b1b2-51dc101f7e76,encoded@bitrate=3050_height=720,BigBuckBunny@display=sequential
encoded@bitrate=4250_height=720,encoded@bitrate=3050_height=720,90a2641b-5fcb-41c9-ad89-2451fbfad6a7,encoded@bitrate=4250_height=720,BigBuckBunny@display=sequential
,encoded@bitrate=4250_height=720,91641fb2-f748-4fad-bfa6-9ef0e5b271a3,encoded@bitrate=3050_height=720,BigBuckBunny@display=sequential
encoded@bitrate=15000_height=1080,encoded@bitrate=15000_height=1080,2f4ed158-b11c-4b86-b59d-6ddbec83983a,encoded@bitrate=4300_height=1080,Seeking@display=sequential
encoded@bitrate=4300_height=1080,encoded@bitrate=15000_height=1080,08d2aa18-36e2-4d06-b1b8-78ab06e9c8a4,encoded@bitrate=4300_height=1080,Seeking@display=sequential
,encoded@bitrate=15000_height=1080,ea1fced5-67ab-4744-8af5-26b265424a52,encoded@bitrate=4300_height=1080,Seeking@display=sequential
encoded@bitrate=15000_height=1080,encoded@bitrate=15000_height=1080,bf5f4b87-d05a-440d-9431-6620c1795e60,encoded@bitrate=4300_height=1080,Seeking@display=sequential
encoded@bitrate=15000_height=1080,encoded@bitrate=4300_height=1080,835e531d-086d-4efe-8d86-2e29a6f0383b,encoded@bitrate=15000_height=1080,Seeking@display=sequential
encoded@bitrate=15000_height=1080,encoded@bitrate=15000_height=1080,d445a949-d7c2-4196-b6a8-50cf9b19cc10,encoded@bitrate=4300_height=1080,Seeking@display=sequential
encoded@bitrate=15000_height=1080,encoded@bitrate=4300_height=1080,a289f0fe-8e3d-48c8-b3d3-d09b6d17b9f8,encoded@bitrate=15000_height=1080,Seeking@display=sequential
,encoded@bitrate=4300_height=1080,c79ca1a1-db1e-4f12-8a20-b18e8b065ead,encoded@bitrate=15000_height=1080,Seeking@display=sequential
encoded@bitrate=15000_height=1080,encoded@bitrate=15000_height=1080,77d2ccfb-ea78-4f68-bea0-064eb802d8b9,encoded@bitrate=4300_height=1080,Seeking@display=sequential
encoded@bitrate=15000_height=1080,encoded@bitrate=4300_height=1080,53127e19-5162-4bab-bb56-69665405a598,encoded@bitrate=15000_height=1080,Seeking@display=sequential
encoded@bitrate=15000_height=1080,encoded@bitrate=15000_height=1080,0c7cd81d-925c-4743-a2d6-52c210ca2c4d,encoded@bitrate=5800_height=1080,Seeking@display=sequential
,encoded@bitrate=15000_height=1080,046a2d12-93ee-4c22-b4af-236d42e42716,encoded@bitrate=5800_height=1080,Seeking@display=sequential
,encoded@bitrate=5800_height=1080,a8a6721b-be7d-42a3-ad63-ad07d8be7093,encoded@bitrate=15000_height=1080,Seeking@display=sequential
,encoded@bitrate=5800_height=1080,a527bdf9-311f-43ee-a4b5-31dd2629cc0a,encoded@bitrate=15000_height=1080,Seeking@display=sequential
encoded@bitrate=15000_height=1080,encoded@bitrate=5800_height=1080,352cda41-e8ef-438d-8eed-747420881787,encoded@bitrate=15000_height=1080,Seeking@display=sequential
encoded@bitrate=15000_height=1080,encoded@bitrate=5800_height=1080,1fbd93ac-8eb8-4d25-8246-22f21c4c0993,encoded@bitrate=15000_height=1080,Seeking@display=sequential
