answer,left_method,participant,right_method,test_case
encoded@bitrate=3800_height=1080,encoded@bitrate=4250_height=720,0d626def-6582-44d9-afc2-3d77df6f5fc9,encoded@bitrate=3800_height=1080,BigBuckBunny@display=sidebyside
,encoded@bitrate=3800_height=1080,a3eb3414-8945-4feb-878a-f9999b9c69ce,encoded@bitrate=4250_height=720,BigBuckBunny@display=sidebyside
encoded@bitrate=3800_height=1080,encoded@bitrate=3800_height=1080,29d1f3e3-2843-4221-b96b-8e081ec229b1,encoded@bitrate=4250_height=720,BigBuckBunny@display=sidebyside
encoded@bitrate=4250_height=720,encoded@bitrate=4250_height=720,e7253bc6-d7f5-44d2-8aaf-82e23e652c20,encoded@bitrate=3800_height=1080,BigBuckBunny@display=sidebyside
encoded@bitrate=4250_height=720,encoded@bitrate=4250_height=720,4e6edcf2-23e2-48b0-b74f-7bd6cc48c116,encoded@bitrate=3800_height=1080,BigBuckBunny@display=sidebyside
,encoded@bitrate=4250_height=720,78bf70d3-58c2-49b5-bf4f-c5077966cc02,encoded@bitrate=3800_height=1080,BigBuckBunny@display=sidebyside
,encoded@bitrate=4250_height=720,b22879a4-98fa-45f5-af5a-45e3a00da402,encoded@bitrate=3800_height=1080,BigBuckBunny@display=sidebyside
,encoded@bitrate=4250_height=720,b8cbd223-1d06-473a-88a8-1036d5af35c0,encoded@bitrate=3800_height=1080,BigBuckBunny@display=sidebyside
,encoded@bitrate=3800_height=1080,a63228db-3faf-4092-8c0b-ec1cfdb24fa4,encoded@bitrate=4250_height=720,BigBuckBunny@display=sidebyside
,encoded@bitrate=4250_height=720,d58430f4-c16d-4707-9245-876e869b295f,encoded@bitrate=3800_height=1080,BigBuckBunny@display=sidebyside
encoded@bitrate=7500_height=1080,encoded@bitrate=2350_height=480,ee2c2ab6-df60-4bee-9216-7c9c643bf5ec,encoded@bitrate=7500_height=1080,CrowdRun@display=sidebyside
encoded@bitrate=7500_height=1080,encoded@bitrate=7500_height=1080,29d1f3e3-2843-4221-b96b-8e081ec229b1,encoded@bitrate=2350_height=480,CrowdRun@display=sidebyside
encoded@bitrate=7500_height=1080,encoded@bitrate=2350_height=480,c6cd3305-5ad3-4e19-ba36-7ad3ad96cfc2,encoded@bitrate=7500_height=1080,CrowdRun@display=sidebyside
encoded@bitrate=7500_height=1080,encoded@bitrate=7500_height=1080,bee75db5-6d81-4493-885e-306a53f3d307,encoded@bitrate=2350_height=480,CrowdRun@display=sidebyside
encoded@bitrate=7500_height=1080,encoded@bitrate=7500_height=1080,5ff8b759-c66a-4308-b898-fea69c2f1ac1,encoded@bitrate=2350_height=480,CrowdRun@display=sidebyside
encoded@bitrate=7500_height=1080,encoded@bitrate=2350_height=480,a6fa5dfa-0f47-493e-9f57-87ba6cb461a4,encoded@bitrate=7500_height=1080,CrowdRun@display=sidebyside
encoded@bitrate=7500_height=1080,encoded@bitrate=2350_height=480,c0174d8e-8abc-4127-b84f-50253bf68194,encoded@bitrate=7500_height=1080,CrowdRun@display=sidebyside
encoded@bitrate=7500_height=1080,encoded@bitrate=2350_height=480,df2bfde9-377f-4014-82e5-1886bdbe91eb,encoded@bitrate=7500_height=1080,CrowdRun@display=sidebyside
encoded@bitrate=7500_height=1080,encoded@bitrate=2350_height=480,ccc9389e-68e0-4ff0-8507-cddb79120612,encoded@bitrate=7500_height=1080,CrowdRun@display=sidebyside
encoded@bitrate=7500_height=1080,encoded@bitrate=7500_height=1080,e2af0c1f-8467-44af-b92d-fe3bdd08eaf1,encoded@bitrate=2350_height=480,CrowdRun@display=sidebyside
