participant,screen_width,screen_height,device_pixel_ratio,gender,age,height_cm,self_reported_visual_acuity,self_reported_color_vision,auto_brightness,blue_light_reduction,ambient_lighting,screen_technology,screen_diagonal_inches_question,screen_diagonal_inches_measured,acuity_best_denominator,color_vision_accuracy,color_gamut_srgb,color_gamut_p3,color_gamut_rec2020,codec_av1_10bit,codec_av1_8bit,codec_av1_hdr,codec_av1_power_efficient,codec_av1_sdr,codec_av1_smooth,codec_av1_supported,codec_h264_avc_10bit,codec_h264_avc_8bit,codec_h264_avc_hdr,codec_h264_avc_power_efficient,codec_h264_avc_sdr,codec_h264_avc_smooth,codec_h264_avc_supported,codec_hevc_10bit,codec_hevc_8bit,codec_hevc_hdr,codec_hevc_power_efficient,codec_hevc_sdr,codec_hevc_smooth,codec_hevc_supported,codec_vp8_10bit,codec_vp8_8bit,codec_vp8_hdr,codec_vp8_power_efficient,codec_vp8_sdr,codec_vp8_smooth,codec_vp8_supported,codec_vp9_10bit,codec_vp9_8bit,codec_vp9_hdr,codec_vp9_power_efficient,codec_vp9_sdr,codec_vp9_smooth,codec_vp9_supported
003c7620-28fb-4ea6-91fa-1e262f492774,1366.0,768.0,1.0,Male,52.0,180.0,Good at near and far,No difficulty,Off,Off,Screen-only dark,LCD / IPS,15.0,15.50079537771663,16.0,0.8666666666666667,True,False,False,True,True,False,False,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True
003d62a2-e400-4a0d-8dc3-7805faeb9a7b,1536.0,864.0,1.25,Female,36.0,,Difficulty far,No difficulty,Off,Off,Room neutral/cool,Unknown,15.0,15.589949356896222,250.0,0.9333333333333332,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
00456d27-6b8b-4e9a-92d6-da1dec87095b,800.0,1280.0,1.5,Female,28.0,160.0,Good at near and far,No difficulty,Off,On,Room warm,Unknown,11.0,10.776854134779688,10.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
004ca917-bf7b-4d7d-b712-db68c33af677,1920.0,1080.0,1.0,Male,28.0,170.0,Normal with correction,No difficulty,Off,Off,Daylight diffuse,LCD / IPS,27.0,23.382766234644023,12.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True
004eff23-2c97-4fd4-8603-adcac081627e,1366.0,768.0,1.0,Female,28.0,168.0,Good at near and far,No difficulty,Off,Off,Room warm,Unknown,15.0,15.453260471070262,16.0,0.8666666666666667,True,False,False,True,True,False,False,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True
0053f56a-3dfc-4463-8859-7205469af490,1536.0,960.0,1.25,Female,23.0,,Good at near and far,No difficulty,Off,Off,Screen-only dark,LCD / IPS,11.0,13.883510484938052,10.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
0064993a-e161-40d4-9413-f296395e857b,2195.0,1235.0,1.39999997615814,Male,47.0,177.0,Good at near and far,No difficulty,On,Off,Room warm,LCD / IPS,27.0,28.112597020703504,250.0,0.5333333333333333,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
006b11f2-35f6-4f7f-9022-757efc9ca581,1440.0,810.0,2.0,Female,43.0,175.0,Normal with correction,No difficulty,Off,Off,Daylight direct,Unknown,15.0,15.51576054432327,10.0,1.0,True,True,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
006f68b5-dafe-4a66-b10e-48626b08b4e6,1920.0,1080.0,1.0,Female,34.0,160.0,Good at near and far,No difficulty,Off,Off,Room neutral/cool,Unknown,32.0,26.82075421526088,16.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
007919af-9cda-4553-bac6-327e2447b734,1685.0,948.0,1.13999998569489,Female,27.0,160.0,Good at near and far,No difficulty,On,Off,Room warm,OLED,32.0,23.96337119802532,20.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
007d2f55-1abb-4f47-a8b1-d0bd130bea1c,1536.0,864.0,1.25,Female,25.0,160.0,Normal with correction,No difficulty,On,Off,Room warm,Unknown,15.6,15.391981746015,10.0,0.9333333333333332,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
007fe017-5dae-4a99-bb05-fc1af779d966,1920.0,1080.0,1.0,Female,30.0,162.0,Normal with correction,Red/green difficulty,Off,Off,Daylight diffuse,VA / Other,19.0,21.046841849475552,12.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True
008b6212-abe0-4853-a8ac-af44ec2dd772,1920.0,1080.0,1.0,Male,20.0,178.0,Good at near and far,No difficulty,Off,Off,Screen-only dark,Unknown,23.0,22.8735488779206,10.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
009bd840-fb40-44f6-a6e2-3c3f42c95d20,1920.0,1080.0,1.0,Male,36.0,186.0,Good at near and far,No difficulty,Off,Off,Room neutral/cool,LCD / IPS,22.0,20.419660871576184,250.0,0.9333333333333332,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,False,True,True,True
009c48cc-b580-4d92-ac95-84de20243d6b,1366.0,768.0,1.0,Male,42.0,168.0,Difficulty far,No difficulty,On,Off,Daylight diffuse,LCD / IPS,17.0,15.445236971344888,250.0,0.9333333333333332,True,False,False,True,True,False,False,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True
00aa6482-8651-4ece-b589-4d80110e17b4,1280.0,720.0,1.5,Male,40.0,177.0,Normal with correction,No difficulty,Off,On,Daylight direct,VA / Other,21.0,21.83241249996023,10.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True
00bbbdad-6237-42c1-a8eb-13872c520cf3,1920.0,1080.0,1.0,Male,27.0,170.0,Good at near and far,No difficulty,Off,On,Daylight diffuse,VA / Other,32.0,23.019679802429053,20.0,0.9333333333333332,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
00c300e6-884e-4ae0-871a-167b7fd974c5,1920.0,1080.0,1.0,Male,33.0,181.0,Good at near and far,No difficulty,Off,Off,Office bright/uniform,LCD / IPS,24.0,22.8735488779206,10.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True
00c4ff01-14f3-4f1b-9de9-e8dc77dcb005,2560.0,1440.0,1.0,Male,32.0,185.0,Good at near and far,No difficulty,Off,Off,Room warm,LCD / IPS,27.0,26.95057480365437,10.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
00c59b1e-2ed7-49dd-9e22-a077718a8355,1536.0,864.0,1.25,Female,34.0,164.0,Normal with correction,No difficulty,On,On,Daylight direct,LCD / IPS,18.0,15.202541970679432,10.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
00c5f4b7-26bd-40e5-85f6-efcc5b7d9989,1280.0,1024.0,1.0,Female,21.0,,Good at near and far,No difficulty,Off,Off,Room warm,Unknown,19.0,18.64424094512232,12.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,True,True,True
00c7dab0-28de-4c81-bc97-da971bf8ec78,1536.0,960.0,1.25,Male,29.0,189.0,Good at near and far,No difficulty,Off,Off,Room warm,LCD / IPS,15.6,15.789795603336284,20.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
00c7e787-aa99-4c14-b886-1b64c95f5f5f,1280.0,1024.0,1.0,Male,23.0,180.0,Normal with correction,No difficulty,On,On,Room warm,OLED,75.0,18.76672400516997,16.0,0.8666666666666667,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
00caf5f3-8eba-4ffe-837b-49cd7d00302a,1536.0,864.0,1.25,Female,20.0,170.0,Good at near and far,No difficulty,Off,Off,Room neutral/cool,LCD / IPS,16.0,15.84468709148603,12.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
00cec3b5-bc3d-4782-8ee9-c90ca12e411d,1536.0,864.0,1.25,Female,47.0,168.0,Good at near and far,No difficulty,Off,Off,Daylight direct,Unknown,15.0,15.399977580688253,10.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
00e0b3b3-defe-48ce-aaeb-a2e4d70b22c2,1366.0,768.0,1.0,Female,39.0,164.0,Good at near and far,No difficulty,Off,Off,Ambient RGB,VA / Other,15.0,15.683219704270714,16.0,1.0,True,False,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,False,False,True,True,True
00e9a827-52ea-45c2-9d12-d4857608b79c,1536.0,864.0,1.25,Male,22.0,180.0,Good at near and far,No difficulty,Off,Off,Ambient RGB,LCD / IPS,20.0,15.34327294302128,350.0,0.8666666666666667,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
00fb48d3-939f-4d8f-a974-6c0799e28570,1920.0,1080.0,1.0,Male,50.0,175.0,Normal with correction,No difficulty,On,Off,Room neutral/cool,LCD / IPS,16.0,21.452310996600108,12.0,0.8,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True
0111d895-f938-4921-8210-3201f559f616,1280.0,720.0,1.5,Female,40.0,164.0,Good at near and far,No difficulty,Off,Off,Daylight diffuse,Unknown,32.0,15.416016459895582,10.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
012ce0bc-95c9-4455-bc47-020a85a334db,2560.0,1440.0,1.0,Female,36.0,161.0,Good at near and far,No difficulty,Off,Off,Daylight diffuse,LCD / IPS,34.0,27.04543031123801,12.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
012e7cd7-0094-41da-8b41-78a70aca8f4d,1920.0,1080.0,1.0,Male,25.0,175.0,Good at near and far,No difficulty,On,Off,Screen-only dark,LCD / IPS,16.0,23.677697080659996,12.0,0.9333333333333332,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,False,True,True,True
012e9adc-c874-4309-ae0c-d4d409a09256,1920.0,1080.0,0.899999976158142,Female,18.0,170.0,Normal with correction,No difficulty,Off,Off,Ambient RGB,LCD / IPS,15.6,15.306027919748235,12.0,0.8,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
013046fa-b0c0-4ffa-9c90-43040148c589,1536.0,864.0,1.25,Female,44.0,167.0,Good at near and far,No difficulty,On,Off,Daylight diffuse,Unknown,14.0,14.094401889519547,10.0,0.9333333333333332,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
01373b97-e59c-4eb2-9964-5af56cda2e72,1536.0,864.0,1.25,Female,47.0,167.0,Good at near and far,No difficulty,On,Off,Desk lamp,Unknown,15.6,15.391981746015,10.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
013a4bf8-a014-4138-adf9-ffa34cab9b1e,1280.0,1024.0,1.0,Female,27.0,165.0,Good at near and far,No difficulty,Off,Off,Daylight direct,Unknown,17.0,16.77288590602082,16.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True
014398e2-d4da-4268-abcf-1761c994090f,1280.0,720.0,1.5,Female,19.0,168.0,Good at near and far,No difficulty,Off,Off,Daylight direct,Unknown,15.6,13.467318620608772,250.0,0.6666666666666666,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
01439c2a-218a-4962-bc99-c6b8ad6a19fd,3440.0,1440.0,1.0,Female,27.0,155.0,Good at near and far,No difficulty,Off,Off,Screen-only dark,VA / Other,34.0,33.87552141201013,10.0,1.0,True,True,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
014dfed2-414d-42a6-97cc-34e25f02feec,2560.0,1440.0,1.5,Male,33.0,173.0,Difficulty far,No difficulty,Off,Off,Daylight diffuse,LCD / IPS,29.0,27.41140498330809,250.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
0153ec1a-7185-4889-a4dd-7fde8690669e,1536.0,864.0,1.25,Female,32.0,165.0,Normal with correction,No difficulty,Off,Off,Daylight diffuse,LCD / IPS,14.0,13.756360483909464,10.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
015d4cf6-1550-485b-95ab-f426e02e16f7,1366.0,768.0,1.0,Female,59.0,155.0,Normal with correction,No difficulty,On,Off,Daylight direct,Unknown,40.0,15.591190694499712,16.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True
015d8cd2-461f-4cd2-bfd4-9dbc6812e230,1366.0,768.0,1.0,Male,29.0,171.0,Good at near and far,No difficulty,Off,Off,Room warm,LCD / IPS,19.0,19.5873687045692,16.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
0170a339-10c3-4958-b053-ebd26a643c34,1366.0,768.0,1.0,Female,32.0,162.0,Difficulty far,No difficulty,Off,Off,Daylight diffuse,Unknown,15.6,15.453260471070262,12.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True
01744d29-3330-4fe7-ae21-8c955e68cf4f,1920.0,1080.0,1.0,Female,27.0,158.0,Good at near and far,No difficulty,On,On,Daylight direct,LCD / IPS,40.0,26.702601112991005,16.0,0.8,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
01904d44-e0cb-4817-a8d8-d2f99d1f7947,1536.0,864.0,1.25,Female,46.0,164.0,Good at near and far,No difficulty,On,On,Daylight direct,LCD / IPS,27.0,17.193171099272075,16.0,0.8,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,True,True,True
019a7894-d4ed-4914-95e5-8e4ae25a2df3,1920.0,1080.0,1.0,Male,47.0,177.0,Good at near and far,No difficulty,Off,Off,Daylight direct,LCD / IPS,24.0,22.99622731832511,12.0,1.0,True,False,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
01a3b14c-3923-4b2c-baf6-0b671043ec61,1470.0,956.0,2.0,Male,19.0,190.0,Good at near and far,No difficulty,On,Off,Daylight diffuse,OLED,13.6,13.382943845242956,10.0,1.0,True,True,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
01aa3ef5-bb24-4ab5-b3ff-0a4149e4a304,1920.0,1080.0,1.0,Female,22.0,160.0,Normal with correction,No difficulty,Off,Off,Room warm,LCD / IPS,109.0,26.66308236108689,10.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
01ab8dc0-2947-4087-9419-31327d3a7462,1536.0,864.0,1.25,Female,30.0,164.0,Normal with correction,No difficulty,Off,Off,Office bright/uniform,Unknown,30.0,22.71644202515317,12.0,0.8666666666666667,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,True,True,True
01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,1730.0,973.0,1.11000001430511,Female,55.0,166.0,Normal with correction,No difficulty,Off,Off,Screen-only dark,LCD / IPS,24.0,24.47905690997644,16.0,0.7333333333333333,True,True,False,True,True,False,False,True,False,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,False,False,True,True,True
01b8b484-a7bd-4989-be20-d96afba4f695,1920.0,1080.0,1.0,Female,18.0,161.0,Good at near and far,No difficulty,On,Off,Office bright/uniform,Unknown,16.0,15.423639828623305,10.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,True,True,True
01ceab58-bef9-45cf-9bcf-4505b7bc086d,1536.0,960.0,1.25,Male,24.0,175.0,Good at near and far,No difficulty,Off,Off,Office bright/uniform,Unknown,14.0,13.915207997460742,10.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
01d4c206-3f84-4fce-8cf0-142ba0014ec1,1920.0,1080.0,1.0,Male,39.0,172.0,Normal with correction,No difficulty,Off,On,Daylight direct,LCD / IPS,22.0,21.725772231716697,12.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,False,False,True,True,True
01d6be2c-7f4e-4112-b3bb-c8851ced9397,1536.0,864.0,1.25,Female,22.0,172.0,Good at near and far,No difficulty,On,Off,Room neutral/cool,Unknown,15.6,15.321145771704304,250.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
01df0c77-0651-44a9-a4f7-2575b2c9c62b,1280.0,1024.0,1.0,Male,68.0,180.0,Normal with correction,No difficulty,Off,Off,Daylight diffuse,Unknown,24.0,18.341082555770736,250.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
01e8d7b6-3386-43b3-a8e3-f1af4d392224,1920.0,1080.0,1.0,Female,21.0,164.0,Good at near and far,No difficulty,Off,On,Daylight direct,Unknown,15.6,21.48503448226712,16.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True
01f1ebd7-d031-4b6c-9c2b-e6e64c207dbe,1920.0,1080.0,1.0,Female,25.0,163.0,Normal with correction,No difficulty,On,Off,Room warm,Unknown,46.0,25.525064151845704,16.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
021472e3-fc3e-46e4-83a4-fcf663330bec,962.0,601.0,1.33125007152557,Male,49.0,178.0,Normal with correction,No difficulty,Off,Off,Daylight direct,Unknown,10.1,9.5597368807845,10.0,1.0,True,False,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True
0217df3c-95e9-42a2-bde4-ff16de51d4b5,1920.0,1080.0,1.0,Female,41.0,174.0,Good at near and far,No difficulty,On,On,Room warm,LCD / IPS,24.0,23.22410135114544,12.0,0.9333333333333332,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,False,False,True,True,True
02327119-84ee-4f4b-8dd1-fea5f25a4565,1920.0,1080.0,1.0,Female,19.0,170.0,Good at near and far,No difficulty,Off,Off,Room warm,LCD / IPS,10.0,24.112762153122706,10.0,0.8666666666666667,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
0245915d-b306-4bea-8880-ca9f52047f08,1920.0,1080.0,1.0,Female,29.0,164.0,Normal with correction,No difficulty,On,Off,Daylight direct,Unknown,18.0,15.46298584859428,10.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
02531cf9-b50e-459b-92f7-1a6e1e4a6008,1536.0,960.0,1.25,Female,22.0,162.0,Good at near and far,No difficulty,On,Off,Room warm,Unknown,15.6,15.997010768734398,12.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
