participant,screen_width,screen_height,device_pixel_ratio,gender,age,height_cm,self_reported_visual_acuity,self_reported_color_vision,auto_brightness,blue_light_reduction,ambient_lighting,screen_technology,screen_diagonal_inches_question,screen_diagonal_inches_measured,acuity_best_denominator,color_vision_accuracy,color_gamut_srgb,color_gamut_p3,color_gamut_rec2020,codec_av1_10bit,codec_av1_8bit,codec_av1_hdr,codec_av1_power_efficient,codec_av1_sdr,codec_av1_smooth,codec_av1_supported,codec_h264_avc_10bit,codec_h264_avc_8bit,codec_h264_avc_hdr,codec_h264_avc_power_efficient,codec_h264_avc_sdr,codec_h264_avc_smooth,codec_h264_avc_supported,codec_hevc_10bit,codec_hevc_8bit,codec_hevc_hdr,codec_hevc_power_efficient,codec_hevc_sdr,codec_hevc_smooth,codec_hevc_supported,codec_vp8_10bit,codec_vp8_8bit,codec_vp8_hdr,codec_vp8_power_efficient,codec_vp8_sdr,codec_vp8_smooth,codec_vp8_supported,codec_vp9_10bit,codec_vp9_8bit,codec_vp9_hdr,codec_vp9_power_efficient,codec_vp9_sdr,codec_vp9_smooth,codec_vp9_supported
00016fe5-9a9c-4310-a63c-61854c264de5,1920.0,1080.0,1.0,Male,39.0,186.0,Good at near and far,No difficulty,Off,Off,Daylight direct,VA / Other,24.0,23.313424817880605,12.0,1.0,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,False,True,True,True
000435b7-7613-4966-8ea1-6aa8ca51b038,1707.0,1067.0,1.5,Male,38.0,181.0,Good at near and far,No difficulty,On,Off,Room warm,LCD / IPS,17.0,15.682113731156868,10.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
000519da-e4c5-4fce-90ec-550c2c2d6834,1536.0,864.0,1.25,Male,21.0,187.0,Good at near and far,No difficulty,Off,Off,Room warm,LCD / IPS,15.6,15.280905589084997,10.0,0.9333333333333332,True,False,False,True,True,False,False,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True
0008d111-93f2-4080-bd05-40556e0587da,1536.0,864.0,1.25,Male,32.0,183.0,Normal with correction,No difficulty,Off,Off,Room warm,LCD / IPS,14.0,15.151482031233517,10.0,0.8,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
001991af-7784-49f8-ba08-51f8aec820eb,1536.0,864.0,1.25,Female,28.0,160.0,Good at near and far,No difficulty,Off,Off,Room warm,Unknown,16.0,15.399977580688253,10.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
002808ce-aaff-4a9e-a4c9-3cd8d9b3ef6a,1470.0,956.0,2.0,Female,34.0,161.0,Difficulty far,No difficulty,Off,Off,Daylight direct,OLED,13.6,13.399338197129463,30.0,1.0,True,True,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
002c666d-0d51-4cb5-943b-2b89164d0b40,2560.0,1440.0,1.0,Female,26.0,170.0,Normal with correction,No difficulty,Off,Off,Room warm,LCD / IPS,27.0,26.49701136235465,12.0,1.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
002eaf3e-d764-4d87-97ca-6bf77e2c28b1,1680.0,1050.0,1.0,Male,36.0,177.0,Good at near and far,No difficulty,Off,Off,Room warm,LCD / IPS,22.0,21.747832059023,16.0,0.9333333333333332,True,False,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,True,True,True
002f0193-f060-46b4-9a05-f8afaed42df7,1920.0,1080.0,1.0,Female,32.0,170.0,Good at near and far,No difficulty,Off,Off,Room neutral/cool,Unknown,21.0,21.376774690274047,16.0,1.0,True,False,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True
00362bae-153a-4ad0-a999-07bae182c7c0,1920.0,1080.0,1.0,Male,39.0,168.0,Good at near and far,No difficulty,Off,Off,Screen-only dark,LCD / IPS,25.0,24.441493760681283,16.0,0.9333333333333332,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True
