answer,left_method,participant,right_method,test_case
H_02_03,H_02_03,84ea08a3-80d5-4759-92fc-e570f8c1f003,A_02_03,S08@display=saliency_crop_720p
,H_02_03,18f89a95-cb82-4b00-9e58-c1ff00b079d0,A_02_03,S08@display=saliency_crop_720p
A_02_03,A_02_03,005b4289-61ab-45b2-a45c-0c6ed7fdba64,H_02_03,S08@display=saliency_crop_720p
,A_02_03,eeb29bf4-ad4a-446f-bd3c-29241b6a5952,H_02_03,S08@display=saliency_crop_720p
A_02_03,A_02_03,6eaf6d2b-b6b4-4ea9-b517-748ababfccd5,H_02_03,S08@display=saliency_crop_720p
A_02_03,H_02_03,89f13f6c-fd9a-431f-8d26-bdb56248d414,A_02_03,S08@display=saliency_crop_720p
,H_02_03,824c97f0-2969-4e8e-a691-b7e939d8489a,A_02_03,S08@display=saliency_crop_720p
,A_02_03,6eaf6d2b-b6b4-4ea9-b517-748ababfccd5,H_02_03,S08@display=saliency_crop_720p
A_02_03,H_02_03,6eaf6d2b-b6b4-4ea9-b517-748ababfccd5,A_02_03,S08@display=saliency_crop_720p
A_02_03,A_02_03,6eaf6d2b-b6b4-4ea9-b517-748ababfccd5,H_02_03,S08@display=saliency_crop_720p
V_02_04,V_02_04,e8642331-642f-4166-9edb-59fedb4bae52,A_02_04,S08@display=saliency_crop_720p
A_02_04,A_02_04,6eaf6d2b-b6b4-4ea9-b517-748ababfccd5,V_02_04,S08@display=saliency_crop_720p
V_02_04,V_02_04,d0923340-33a9-49dc-82da-245a84bc3a6b,A_02_04,S08@display=saliency_crop_720p
A_02_04,V_02_04,6eaf6d2b-b6b4-4ea9-b517-748ababfccd5,A_02_04,S08@display=saliency_crop_720p
V_02_04,V_02_04,6a8adf57-17d4-4c28-a859-d597f12c8a15,A_02_04,S08@display=saliency_crop_720p
V_02_04,A_02_04,6eaf6d2b-b6b4-4ea9-b517-748ababfccd5,V_02_04,S08@display=saliency_crop_720p
V_02_04,A_02_04,c568833b-a9b4-4fad-a516-b3693696084a,V_02_04,S08@display=saliency_crop_720p
V_02_04,V_02_04,738f83dc-0b45-4124-a663-de31fdfb3bf6,A_02_04,S08@display=saliency_crop_720p
V_02_04,V_02_04,a235f07b-2c07-490b-aa32-5d3c188f9710,A_02_04,S08@display=saliency_crop_720p
V_02_04,A_02_04,6eaf6d2b-b6b4-4ea9-b517-748ababfccd5,V_02_04,S08@display=saliency_crop_720p
A_02_02,A_02_02,6eaf6d2b-b6b4-4ea9-b517-748ababfccd5,A_02_03,S05@display=saliency_crop_720p
A_02_02,A_02_03,5c05963f-5fd9-4da4-8206-d08450d02238,A_02_02,S05@display=saliency_crop_720p
A_02_02,A_02_03,4d0001c4-079b-495d-9284-ece92ae6997a,A_02_02,S05@display=saliency_crop_720p
,A_02_03,8ee2b07f-61cb-42db-930f-14819b9e75a9,A_02_02,S05@display=saliency_crop_720p
A_02_02,A_02_02,7d6c54c1-fea2-42e0-a7e2-41def80bc507,A_02_03,S05@display=saliency_crop_720p
A_02_02,A_02_02,8873787f-e4ea-4043-baea-a9f309eaa8d1,A_02_03,S05@display=saliency_crop_720p
,A_02_02,38a2299f-13a7-4dd5-b8a0-ffabb8ad30ca,A_02_03,S05@display=saliency_crop_720p
,A_02_03,cb07416b-7168-4e13-a5cc-f239a240702a,A_02_02,S05@display=saliency_crop_720p
,A_02_03,f138d4ee-be98-4c96-a773-1f593af7bb81,A_02_02,S05@display=saliency_crop_720p
A_02_02,A_02_02,aa2a0be4-118e-46ca-98c3-8818438a3a4f,A_02_03,S05@display=saliency_crop_720p
H_02_02,H_02_03,c39ce21a-8bed-427f-9d9b-f4122aa94586,H_02_02,S08@display=saliency_crop_720p
H_02_02,H_02_02,c46bf939-c388-4c0d-ae83-38885263460f,H_02_03,S08@display=saliency_crop_720p
H_02_02,H_02_02,b21cd4c0-0504-4583-8f0c-4209c507057b,H_02_03,S08@display=saliency_crop_720p
,H_02_03,7a02891b-0b8a-4bf5-b8f5-c74e7dcb86f4,H_02_02,S08@display=saliency_crop_720p
H_02_02,H_02_02,36d2d636-a145-41d8-b03c-11256a1252b6,H_02_03,S08@display=saliency_crop_720p
H_02_02,H_02_03,86ecaba7-bb55-4b72-8f13-931bd1d41d85,H_02_02,S08@display=saliency_crop_720p
H_02_02,H_02_02,3a3da0d6-0337-41fc-872d-d2dba9673d11,H_02_03,S08@display=saliency_crop_720p
