answer,left_method,participant,right_method,test_case
R6,R1,741f8ac1-2a62-48f7-b028-0925baec2441,R6,Fountains@display=saliency_crop_720p
R6,R1,36554c81-f470-4557-a0cc-f5b3bc85895a,R6,Fountains@display=saliency_crop_720p
R6,R1,ee821f20-7194-4ffa-bdbc-e072c04c5b3f,R6,Fountains@display=saliency_crop_720p
R6,R6,d01ee4de-eeab-4fbd-8524-356106dc4056,R1,Fountains@display=saliency_crop_720p
R6,R6,b7b7e154-b9f7-4715-a884-59a87a3cb0d0,R1,Fountains@display=saliency_crop_720p
R6,R1,1870bf23-1292-48d3-8fb9-9d5e3a56898c,R6,Fountains@display=saliency_crop_720p
R6,R6,3fa656ef-3088-43f3-88f1-bd3153908047,R1,Fountains@display=saliency_crop_720p
R6,R6,24877cc4-7da9-4c23-922c-bd003dcee0a5,R1,Fountains@display=saliency_crop_720p
R6,R6,c91044c9-01f7-4e0e-ac46-9d55ad58d440,R1,Fountains@display=saliency_crop_720p
R6,R1,f2d19079-fad8-48e8-b00e-82da13d0335c,R6,Fountains@display=saliency_crop_720p
R6,R6,741f8ac1-2a62-48f7-b028-0925baec2441,R2,Marathon@display=saliency_crop_720p
R6,R2,9e5809d4-ad76-485b-8726-8fe59f60e525,R6,Marathon@display=saliency_crop_720p
R6,R6,1e98319b-af93-4d24-b03d-045a6661fdb5,R2,Marathon@display=saliency_crop_720p
R6,R6,150d3f2b-1194-4365-ab30-409e52b8b836,R2,Marathon@display=saliency_crop_720p
R6,R2,e0f20671-beda-4d0a-b37a-4495f6c53510,R6,Marathon@display=saliency_crop_720p
R6,R2,c7cb111c-5f37-4f24-8dfb-5959b2bf43c4,R6,Marathon@display=saliency_crop_720p
R6,R6,7f8aea63-96d6-4a3c-a4cf-af6310fc603a,R2,Marathon@display=saliency_crop_720p
R6,R2,bd7f5bfc-51a6-47a7-946e-773f7cd82298,R6,Marathon@display=saliency_crop_720p
R6,R2,e0c576ae-60ae-4a6c-9bbb-3bf76376eb49,R6,Marathon@display=saliency_crop_720p
R6,R2,f657943e-7379-41d8-b9ca-6085e8d87335,R6,Marathon@display=saliency_crop_720p
R5,R2,741f8ac1-2a62-48f7-b028-0925baec2441,R5,Mobile@display=saliency_crop_720p
R5,R5,a15bf945-b620-4e3f-b0c7-4b3591dbc1d9,R2,Mobile@display=saliency_crop_720p
