answer,left_method,participant,right_method,test_case
R6,R6,54947535-5ede-4a37-92d6-6bc253800ceb,R2,Coastguard@display=saliency_crop_1080p
R6,R2,08b8e315-c036-4f93-9d5e-dfe64ff7b22d,R6,Coastguard@display=saliency_crop_1080p
R6,R6,42703baa-0bad-4669-8231-132e020ba77a,R2,Coastguard@display=saliency_crop_1080p
,R2,7089198d-e9aa-4713-94ba-c2ea899c4aae,R6,Coastguard@display=saliency_crop_1080p
R6,R6,395b17e8-89a3-4bce-83f3-c301e912ea1a,R2,Coastguard@display=saliency_crop_1080p
R2,R6,c7b2459f-e7d9-4049-a38c-a3cb94875107,R2,Coastguard@display=saliency_crop_1080p
R6,R2,df0bf719-8a6b-4a06-bae5-74ec3fffb486,R6,Coastguard@display=saliency_crop_1080p
R6,R2,b89f43b9-9c97-45b4-8ea0-fd32ca5120ed,R6,Coastguard@display=saliency_crop_1080p
R6,R6,29e388cd-cfa3-4729-8cb2-67e385f6e4e4,R2,Coastguard@display=saliency_crop_1080p
R6,R6,ad6e18fc-63c0-4803-bf8b-1f8165607426,R2,Coastguard@display=saliency_crop_1080p
R5,R5,54947535-5ede-4a37-92d6-6bc253800ceb,R1,Wood@display=saliency_crop_1080p
R5,R1,276d485a-9264-46f0-bc08-713b22040624,R5,Wood@display=saliency_crop_1080p
R5,R5,42703baa-0bad-4669-8231-132e020ba77a,R1,Wood@display=saliency_crop_1080p
R5,R1,5fbc4a69-271a-4105-8110-ff5d8c153379,R5,Wood@display=saliency_crop_1080p
R5,R1,416524dc-c63c-425a-a5fc-703d10c99249,R5,Wood@display=saliency_crop_1080p
R5,R1,06f687bc-cf7d-43db-ba45-9e539e73c8a6,R5,Wood@display=saliency_crop_1080p
R5,R1,80c24273-9f1c-4e16-88c4-6fd1211c6088,R5,Wood@display=saliency_crop_1080p
R1,R5,e837a228-81e3-4b0d-a101-456bceea5336,R1,Wood@display=saliency_crop_1080p
R5,R5,3b4c772a-35cb-4c5e-a433-813c3c075371,R1,Wood@display=saliency_crop_1080p
R5,R5,c7ac1abf-96c3-4be7-ae2e-41951097e3a9,R1,Wood@display=saliency_crop_1080p
R3,R3,54947535-5ede-4a37-92d6-6bc253800ceb,R1,Runners@display=saliency_crop_1080p
R3,R1,24d060a3-6a66-4e15-b4c7-9ad2dfff2b4f,R3,Runners@display=saliency_crop_1080p
R3,R1,5ba3afc9-1497-4d24-adf6-a07d49a9fe8b,R3,Runners@display=saliency_crop_1080p
R3,R3,3c9ad8a6-70b1-485c-85c6-024d8b4c8582,R1,Runners@display=saliency_crop_1080p
R3,R3,5fbc4a69-271a-4105-8110-ff5d8c153379,R1,Runners@display=saliency_crop_1080p
R3,R3,981db0b1-1dcd-4380-9a2e-9930c209aaf6,R1,Runners@display=saliency_crop_1080p
R3,R3,389e473c-d985-4494-a75d-c8c0c8a2c0e6,R1,Runners@display=saliency_crop_1080p
R3,R3,db37fb88-37d4-4469-b085-cc47bffba42b,R1,Runners@display=saliency_crop_1080p
R3,R3,b89f43b9-9c97-45b4-8ea0-fd32ca5120ed,R1,Runners@display=saliency_crop_1080p
R3,R3,2588f239-48a4-4480-bdb6-8f06dfcf4df8,R1,Runners@display=saliency_crop_1080p
R6,R3,54947535-5ede-4a37-92d6-6bc253800ceb,R6,Fountains@display=saliency_crop_1080p
R6,R3,3969a93b-a134-4169-b7c6-a63cd5cd5323,R6,Fountains@display=saliency_crop_1080p
R6,R6,54b1875c-2aa0-477b-84e1-0c25b410f4c9,R3,Fountains@display=saliency_crop_1080p
R6,R6,d8e1513e-536a-4aae-9df2-9e0dcac217aa,R3,Fountains@display=saliency_crop_1080p
R6,R3,a9ada366-0ea8-4eea-86af-d9ad3d9f148a,R6,Fountains@display=saliency_crop_1080p
R6,R3,06f687bc-cf7d-43db-ba45-9e539e73c8a6,R6,Fountains@display=saliency_crop_1080p
R6,R6,0a097714-fdc6-42ed-bc67-b4720eadcd99,R3,Fountains@display=saliency_crop_1080p
R6,R6,3d615013-7870-43d2-8a8c-af7d043719dd,R3,Fountains@display=saliency_crop_1080p
,R6,88a95358-e147-447d-9bbb-72ec82faeae0,R3,Fountains@display=saliency_crop_1080p
R6,R6,5e3c0cfb-274a-4d8a-aca8-a5007c3af2d1,R3,Fountains@display=saliency_crop_1080p
R3,R2,54947535-5ede-4a37-92d6-6bc253800ceb,R3,Fountains@display=saliency_crop_1080p
R3,R2,01320431-fb62-4c46-9bc1-474f3d78b150,R3,Fountains@display=saliency_crop_1080p
,R2,5a9f197c-d9e9-436f-8e4f-8bad25578802,R3,Fountains@display=saliency_crop_1080p
R3,R2,ae36410d-4283-4262-877b-58a3d6afb818,R3,Fountains@display=saliency_crop_1080p
R3,R2,aa683bcc-f135-45ea-9497-a00b277ae1bc,R3,Fountains@display=saliency_crop_1080p
,R2,da193758-3cd6-4340-a33a-22537eadce5a,R3,Fountains@display=saliency_crop_1080p
,R2,51e13bdd-5b84-4ec5-a7c2-eb75b45577d2,R3,Fountains@display=saliency_crop_1080p
R3,R2,675d54bc-e94c-49d2-a6ec-4caf3a1c9daf,R3,Fountains@display=saliency_crop_1080p
R3,R3,48e6f8db-b46d-4977-9d77-59fe13ff9891,R2,Fountains@display=saliency_crop_1080p
