answer,left_method,participant,right_method,test_case
R3,R2,01cc5a98-4732-474e-8e3f-eca2fcddb195,R3,Marathon@display=downscale_720p
,R2,146e758b-5b23-446a-924b-7b6ab6e51c55,R3,Marathon@display=downscale_720p
R3,R2,d6adf6b1-a1dc-416a-98b8-d9c1690184cc,R3,Marathon@display=downscale_720p
R3,R2,d4e2065f-dd76-4a20-aeab-83a4efbb77f1,R3,Marathon@display=downscale_720p
R3,R3,07f3cd3b-7fd8-4259-b6b5-1c0596af9ef3,R2,Marathon@display=downscale_720p
,R2,c9e55a9f-6aed-4ed4-ae7b-7f6bd6d36308,R3,Marathon@display=downscale_720p
R3,R3,df1ef5ce-37ba-461e-abf0-ca43a49a871e,R2,Marathon@display=downscale_720p
R3,R3,f8981dd1-3379-4d2f-acd2-42641ac5ef41,R2,Marathon@display=downscale_720p
R2,R3,632214e5-874c-4caf-bc03-dab136c98c86,R2,Marathon@display=downscale_720p
R3,R2,9cd8b526-2a06-4dd2-8163-553e479e170d,R3,Marathon@display=downscale_720p
R5,R3,5fb4c364-6158-423c-b684-863586afc41f,R5,Fountains@display=downscale_720p
R3,R3,5fb4c364-6158-423c-b684-863586afc41f,R5,Fountains@display=downscale_720p
R5,R3,e5ac8f42-0de5-4e3b-86aa-e2297dec3591,R5,Fountains@display=downscale_720p
R5,R3,80a71dc8-67c2-47f6-b80f-4e228ddfcf3e,R5,Fountains@display=downscale_720p
R3,R3,93c91e48-6546-4427-a82b-37ae2acb1023,R5,Fountains@display=downscale_720p
R5,R5,5fb4c364-6158-423c-b684-863586afc41f,R3,Fountains@display=downscale_720p
R5,R3,e66ec19f-9ec9-44f7-a724-bc23997690ea,R5,Fountains@display=downscale_720p
R3,R5,5fb4c364-6158-423c-b684-863586afc41f,R3,Fountains@display=downscale_720p
R3,R3,5fb4c364-6158-423c-b684-863586afc41f,R5,Fountains@display=downscale_720p
R5,R5,01cc5a98-4732-474e-8e3f-eca2fcddb195,R3,Fountains@display=downscale_720p
R4,R4,2d479a11-e0a5-43ee-bdfa-f756fb3035a8,R1,Marathon@display=downscale_720p
R4,R4,7c483e89-0079-4b78-a688-3fd4558c7259,R1,Marathon@display=downscale_720p
R4,R1,fc3798ed-7a3d-4879-975e-6615c8ccbfbd,R4,Marathon@display=downscale_720p
R4,R1,5fb4c364-6158-423c-b684-863586afc41f,R4,Marathon@display=downscale_720p
R4,R4,7b3658e9-fb36-4e9e-b901-a4f3831d7d44,R1,Marathon@display=downscale_720p
R4,R4,791a59bf-95d7-41af-b4ca-baef565e9c6c,R1,Marathon@display=downscale_720p
R1,R1,01cc5a98-4732-474e-8e3f-eca2fcddb195,R4,Marathon@display=downscale_720p
R4,R1,fc3798ed-7a3d-4879-975e-6615c8ccbfbd,R4,Marathon@display=downscale_720p
R4,R4,e87764d8-5998-449a-b0be-52af483d83b0,R1,Marathon@display=downscale_720p
R4,R4,b300ef80-c682-4ae9-b7d8-19975e90e353,R1,Marathon@display=downscale_720p
R5,R6,01cc5a98-4732-474e-8e3f-eca2fcddb195,R5,Coastguard@display=downscale_720p
R5,R5,0e9ea34f-0e47-47e4-a7a1-4fbcbacf074b,R6,Coastguard@display=downscale_720p
R5,R6,93c91e48-6546-4427-a82b-37ae2acb1023,R5,Coastguard@display=downscale_720p
,R6,7d0a591e-ed3d-4e71-af95-e3054ac5f453,R5,Coastguard@display=downscale_720p
R6,R6,5e6709a6-c328-4ea4-8bfa-97f4757b8202,R5,Coastguard@display=downscale_720p
R6,R5,ee15288f-6ab3-4ec6-b73c-363aa88e81f8,R6,Coastguard@display=downscale_720p
,R6,4a57f4c6-5cab-48f5-9220-e39bb446b099,R5,Coastguard@display=downscale_720p
,R5,1c3321ab-3dc1-4d98-a807-4f3f9a3bdb3d,R6,Coastguard@display=downscale_720p
,R6,1c3321ab-3dc1-4d98-a807-4f3f9a3bdb3d,R5,Coastguard@display=downscale_720p
R5,R6,632214e5-874c-4caf-bc03-dab136c98c86,R5,Coastguard@display=downscale_720p
R2,R2,01cc5a98-4732-474e-8e3f-eca2fcddb195,R1,Fountains@display=downscale_720p
R1,R1,93c91e48-6546-4427-a82b-37ae2acb1023,R2,Fountains@display=downscale_720p
,R2,51e6c907-5a55-4357-bf0f-5b896cf3c74b,R1,Fountains@display=downscale_720p
R2,R1,8b66ee3a-a36c-4cc1-a625-03b9cebe821f,R2,Fountains@display=downscale_720p
R2,R2,80a71dc8-67c2-47f6-b80f-4e228ddfcf3e,R1,Fountains@display=downscale_720p
R2,R1,80a71dc8-67c2-47f6-b80f-4e228ddfcf3e,R2,Fountains@display=downscale_720p
R2,R1,bbedaea7-c363-476c-a65b-60183557e63e,R2,Fountains@display=downscale_720p
R2,R2,3faf6723-290c-41fa-8df3-b96bd3fe0f0f,R1,Fountains@display=downscale_720p
R2,R1,b91ad5a3-2db4-454b-be94-b1943049f89b,R2,Fountains@display=downscale_720p
R2,R2,b91ad5a3-2db4-454b-be94-b1943049f89b,R1,Fountains@display=downscale_720p
R1,R2,01cc5a98-4732-474e-8e3f-eca2fcddb195,R1,Coastguard@display=downscale_720p
R2,R2,1c1c9595-eb22-4c20-89c2-e8ab35c0d629,R1,Coastguard@display=downscale_720p
R2,R1,50d2086a-6b58-43a0-a3f7-fa3f4cc7c463,R2,Coastguard@display=downscale_720p
R1,R1,d4e2065f-dd76-4a20-aeab-83a4efbb77f1,R2,Coastguard@display=downscale_720p
R1,R1,e66ec19f-9ec9-44f7-a724-bc23997690ea,R2,Coastguard@display=downscale_720p
R1,R2,ee15288f-6ab3-4ec6-b73c-363aa88e81f8,R1,Coastguard@display=downscale_720p
R1,R2,3faf6723-290c-41fa-8df3-b96bd3fe0f0f,R1,Coastguard@display=downscale_720p
R1,R2,3faf6723-290c-41fa-8df3-b96bd3fe0f0f,R1,Coastguard@display=downscale_720p
R2,R2,2f6f6028-fe0a-426e-b6b7-663c1e4bfffc,R1,Coastguard@display=downscale_720p
R2,R1,506ef123-bb5c-4c16-a510-c6885351a9ad,R2,Coastguard@display=downscale_720p
R5,R5,fc3798ed-7a3d-4879-975e-6615c8ccbfbd,R1,Coastguard@display=downscale_720p
R5,R1,cf6c304e-7561-49ac-af54-9f8325367010,R5,Coastguard@display=downscale_720p
R1,R1,67a51688-2443-49ce-af66-17e41ea5c2fe,R5,Coastguard@display=downscale_720p
R5,R1,84131210-c75e-47e5-86d7-abef385bb1a3,R5,Coastguard@display=downscale_720p
,R5,fc3798ed-7a3d-4879-975e-6615c8ccbfbd,R1,Coastguard@display=downscale_720p
R5,R5,c9e55a9f-6aed-4ed4-ae7b-7f6bd6d36308,R1,Coastguard@display=downscale_720p
