answer,left_method,participant,right_method,test_case
R5,R2,7a4e57d2-ab02-447c-b370-81308a8796af,R5,Coastguard@display=downscale_1080p
R5,R5,758865a8-f0fe-4089-9172-219b0d0ded93,R2,Coastguard@display=downscale_1080p
R5,R2,9efbb063-cf30-42a4-8a7b-9941865b4aff,R5,Coastguard@display=downscale_1080p
R5,R2,b86eb45d-4f42-4895-a88c-e7463b6b641a,R5,Coastguard@display=downscale_1080p
R2,R2,39047162-bd89-47ae-822c-7c80331137cc,R5,Coastguard@display=downscale_1080p
R5,R2,3d78c9c0-490e-4f25-b608-8bce609c701b,R5,Coastguard@display=downscale_1080p
R5,R2,8f4d33c0-1387-405c-ade4-c74e495c93fb,R5,Coastguard@display=downscale_1080p
R5,R2,e5f648e4-fb9b-41d7-8d1e-a9cecd447372,R5,Coastguard@display=downscale_1080p
R5,R5,513b3ea6-39f9-485f-a7bc-d48ae05aa6d3,R2,Coastguard@display=downscale_1080p
R5,R2,fb8439dc-fa9a-4edc-9e6f-690ea86c3de0,R5,Coastguard@display=downscale_1080p
R3,R1,7a4e57d2-ab02-447c-b370-81308a8796af,R3,Coastguard@display=downscale_1080p
,R1,598fabe9-75f6-434a-844e-60fd9e1c1b45,R3,Coastguard@display=downscale_1080p
R3,R3,8f4d33c0-1387-405c-ade4-c74e495c93fb,R1,Coastguard@display=downscale_1080p
,R3,598fabe9-75f6-434a-844e-60fd9e1c1b45,R1,Coastguard@display=downscale_1080p
R3,R1,5ea56c3c-a05c-479c-8c47-bd4f7fc9b516,R3,Coastguard@display=downscale_1080p
R3,R1,6472923e-0a44-43f9-b91e-e9b55cd4a71e,R3,Coastguard@display=downscale_1080p
R3,R3,e5f648e4-fb9b-41d7-8d1e-a9cecd447372,R1,Coastguard@display=downscale_1080p
R3,R1,be284ca5-89ba-48e1-bb85-cc62d34f013b,R3,Coastguard@display=downscale_1080p
R3,R3,a342cd45-7540-42b0-becb-3de7b92695d6,R1,Coastguard@display=downscale_1080p
R1,R3,6d8270cd-2c93-4f8d-8fdd-7fbe110336f6,R1,Coastguard@display=downscale_1080p
